City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fort st. john,56.2499,-120.8529,-4.08,71,73,0.98,CA,1712225201
84,edinburgh of the seven seas,-37.0676,-12.3116,16.28,73,76,10.35,SH,1712225335
85,vryburg,-26.9566,24.7284,24.03,51,98,4.85,ZA,1712225220
86,brisas de zicatela,15.8369,-97.0419,24.03,83,21,1.38,MX,1712225335
87,nevel'sk,46.6733,141.8633,0.39,88,43,2.26,RU,1712225335
88,ushuaia,-54.8,-68.3,3.81,70,40,11.83,AR,1712225299
89,touros,-5.1989,-35.4608,26.85,85,98,2.23,BR,1712225078
90,vallegrande,-18.4897,-64.1069,15.45,98,100,0.84,BO,1712225336
91,pacific grove,36.6177,-121.9166,10.92,69,75,3.6,US,1712225125
92,albany,42.6001,-73.9662,1.41,82,100,0.89,US,1712225206
93,nuuk,64.1835,-51.7216,-3.66,86,0,5.14,GL,1712225106
94,kiruna,67.8557,20.2251,-8.49,57,27,1.54,SE,1712225336
95,georgetown,5.4112,100.3354,32.97,62,20,5.36,MY,1712225132
96,fort bragg,35.139,-79.006,9.9,66,0,3.6,US,1712225336
97,saint-francois,46.4154,3.9054,17.58,61,0,5.14,FR,1712225336
98,kiunga,-6.1219,141.2906,25.27,96,100,0.95,PG,1712225336
99,piti village,13.4626,144.6933,27.49,78,20,5.66,GU,1712225336
100,grants,35.1473,-107.8514,-0.87,59,0,2.06,US,1712225336
101,atafu village,-8.5421,-172.5159,29.63,73,22,3.6,TK,1712225337
102,west island,-12.1568,96.8225,28.99,74,40,6.69,CC,1712225337
103,changsu,35.6484,127.5152,8.86,94,100,1.62,KR,1712225337
104,deschutes river woods,43.9915,-121.3584,0.17,90,100,1.54,US,1712225337
105,kargasok,59.0556,80.8572,3.87,98,100,7.15,RU,1712225337
106,mosjoen,65.836,13.1908,0.23,50,20,4.12,NO,1712225125
107,likiep,9.8251,169.3107,26.95,79,100,9.06,MH,1712225337
108,sandnessjoen,66.0217,12.6316,0.23,43,20,4.12,NO,1712225337
109,vila franca do campo,37.7167,-25.4333,18.27,99,58,8.56,PT,1712225337
110,monetnyy,57.0472,60.8794,16.68,52,1,5.42,RU,1712225337
111,antsiranana,-12.2787,49.2917,28.31,78,100,6.53,MG,1712225286
112,pitea,65.3172,21.4794,-4.95,83,77,1.89,SE,1712225337
113,san luis de la loma,17.2706,-100.8939,21.58,76,0,1.41,MX,1712225337
114,waitangi,-43.9535,-176.5597,15.46,96,100,2.68,NZ,1712225338
115,askoy,60.4092,5.226,1.08,100,100,1.54,NO,1712225188
116,remire-montjoly,4.9167,-52.2667,27.02,94,75,2.57,GF,1712225338
117,ust'-ilimsk,58.0006,102.6619,0.24,87,100,4.02,RU,1712225186
118,thompson,55.7435,-97.8558,-4.8,96,99,3.1,CA,1712225338
119,anadyr,64.75,177.4833,-11.72,92,20,1.0,RU,1712225338
120,torghay,49.6339,63.4981,17.66,40,55,3.04,KZ,1712225338
121,ribeira grande,38.5167,-28.7,16.54,77,40,9.39,PT,1712225339
122,spring creek,40.7266,-115.5859,8.0,49,100,2.95,US,1712225339
123,antigonish,45.6169,-61.9986,0.46,89,49,3.64,CA,1712225135
124,tiksi,71.6872,128.8694,-16.82,98,100,5.4,RU,1712225339
125,olonkinbyen,70.9221,-8.7187,-3.48,72,65,6.11,SJ,1712225339
126,kerikeri,-35.2268,173.9474,14.6,92,44,1.85,NZ,1712225339
127,tshabong,-26.05,22.45,26.56,45,25,5.19,BW,1712225339
128,brookings,44.3114,-96.7984,-0.46,69,0,3.49,US,1712225339
129,eldama ravine,0.0516,35.7308,14.08,96,100,1.74,KE,1712225339
130,lohr am main,49.9936,9.5783,14.05,84,100,7.14,DE,1712225163
131,ghat,24.9647,10.1728,30.74,8,82,6.07,LY,1712225339
132,ciranjang-hilir,-6.82,107.2572,30.68,89,100,1.38,ID,1712225339
133,daru,-9.0763,143.2092,26.61,86,100,2.8,PG,1712225339
134,la passe,45.5549,-0.8967,19.12,72,97,4.77,FR,1712225339
135,severo-yeniseyskiy,60.3725,93.0408,-4.68,93,100,3.13,RU,1712225339
136,st. john's,47.5649,-52.7093,2.66,98,100,10.28,CA,1712225098
137,la ronge,55.1001,-105.2842,-0.09,96,100,1.43,CA,1712225340
138,saipan,15.1355,145.701,27.39,74,75,8.23,MP,1712225340
139,fale old settlement,-9.3852,-171.2468,29.67,73,12,3.58,TK,1712225340
140,igdir,39.9237,44.045,20.96,30,40,3.09,TR,1712225340
141,bogale,16.2833,95.4,39.12,24,10,8.43,MM,1712225340
142,bamboo flat,11.7,92.7167,33.05,62,20,2.57,IN,1712225056
143,natchez,31.5604,-91.4032,5.69,75,0,2.06,US,1712225340
144,buka,40.8108,69.1986,21.24,30,31,2.95,UZ,1712225197
145,nishinoomote,30.7333,131.0,18.19,84,100,6.71,JP,1712225341
146,yatou,37.15,122.3833,8.25,46,83,4.01,CN,1712225341
147,purwodadi,-7.0868,110.9158,29.65,79,86,1.04,ID,1712225237
148,bubaque,11.2833,-15.8333,24.24,74,28,3.74,GW,1712225341
149,vorkuta,67.5,64.0,-13.27,88,98,4.47,RU,1712225211
150,longyearbyen,78.2186,15.6401,-7.09,79,75,1.03,SJ,1712225341
151,tual,-5.6667,132.75,26.6,87,100,4.32,ID,1712225237
152,san patricio,28.017,-97.5169,17.91,41,0,3.85,US,1712225342
153,ibshaway,29.358,30.6814,31.28,15,0,5.85,EG,1712225342
154,lihue,21.9789,-159.3672,23.58,74,75,10.29,US,1712225177
155,coronel suarez,-37.4547,-61.9334,9.01,51,51,2.84,AR,1712225342
156,jingdezhen,29.2947,117.2079,15.5,95,100,2.47,CN,1712225321
157,kutum,14.2,24.6667,31.02,10,100,6.86,SD,1712225342
158,baruun-urt,46.6806,113.2792,6.23,25,6,2.54,MN,1712225342
159,castillos,-34.1667,-53.8333,15.42,95,98,3.58,UY,1712225342
160,san andres,12.5847,-81.7006,27.01,78,20,3.6,CO,1712225268
161,lerwick,60.1545,-1.1494,5.0,55,99,7.99,GB,1712225326
162,coquimbo,-29.9533,-71.3436,13.85,100,100,1.54,CL,1712225050
163,ekpoma,6.7421,6.139,30.43,62,95,2.96,NG,1712225343
164,tazovsky,67.4667,78.7,-16.87,88,91,3.62,RU,1712225343
165,hecun,36.5333,114.1111,14.74,50,7,4.87,CN,1712225343
166,roma,43.2128,-75.4557,2.27,99,100,2.06,US,1712225309
167,fushe-kruje,41.4783,19.7178,21.08,46,0,2.06,AL,1712225133
168,san felipe,10.3399,-68.7425,23.73,97,100,1.16,VE,1712225343
169,nelson bay,-32.7167,152.15,18.39,97,100,0.89,AU,1712225343
170,medicine hat,50.0501,-110.6683,6.24,75,100,4.63,CA,1712225343
171,anar darah,32.7587,61.654,22.37,18,100,1.17,AF,1712225059
172,talnakh,69.4865,88.3972,-17.66,90,39,4.49,RU,1712225343
173,hawaiian paradise park,19.5933,-154.9731,20.02,97,75,2.06,US,1712225344
174,mount pearl,47.5166,-52.7813,2.2,98,100,3.58,CA,1712225344
175,rani,25.3503,73.3089,35.39,19,100,5.18,IN,1712225344
176,santana,-0.0583,-51.1817,26.1,94,75,1.03,BR,1712225344
177,shadrinsk,56.0852,63.6335,13.57,67,3,5.52,RU,1712225105
178,sarai,53.7458,41.0213,11.45,66,79,4.79,RU,1712225344
179,pervomayskoye,43.919,46.7102,17.0,46,98,5.34,RU,1712225344
180,princeville,45.7668,-61.2985,0.73,88,33,4.05,CA,1712225344
181,east london,-33.0153,27.9116,27.52,56,42,5.08,ZA,1712225344
182,holualoa,19.6228,-155.9522,20.91,95,100,2.57,US,1712225344
183,lompoc,34.6391,-120.4579,11.68,93,100,4.63,US,1712225345
184,punta arenas,-53.15,-70.9167,4.06,75,75,5.14,CL,1712225345
185,as samawah,31.332,45.2944,32.41,12,4,3.29,IQ,1712225345
186,tukrah,32.5341,20.5791,21.88,46,14,5.97,LY,1712225345
187,naze,28.3667,129.4833,19.05,87,100,2.68,JP,1712225345
188,labytnangi,66.6572,66.4183,-15.35,91,100,5.0,RU,1712225154
189,karachi,24.9056,67.0822,31.9,35,40,7.2,PK,1712225190
190,mogadishu,2.0371,45.3438,30.93,74,75,3.6,SO,1712225067
191,gadzhiyevo,69.2551,33.3362,-5.22,66,100,4.7,RU,1712225345
192,zeya,53.75,127.2667,-1.4,77,40,1.67,RU,1712225345
193,leh,34.1667,77.5833,-0.07,53,64,1.85,IN,1712225074
194,bandarbeyla,9.4942,50.8122,29.43,59,54,4.57,SO,1712225345
195,pichucalco,17.5167,-93.0667,20.68,85,100,1.37,MX,1712225345
196,aasiaat,68.7098,-52.8699,-9.97,99,100,3.3,GL,1712225346
197,bulgan,48.8125,103.5347,9.34,39,100,0.7,MN,1712225346
198,hithadhoo,-0.6,73.0833,29.86,70,66,2.89,MV,1712225346
199,wailua homesteads,22.0669,-159.378,23.24,75,75,10.29,US,1712225346
200,fortuna,40.5982,-124.1573,5.55,89,34,2.24,US,1712225346
201,asau,46.4333,26.4,16.51,41,100,3.0,RO,1712225346
202,jamestown,42.097,-79.2353,2.06,100,100,2.57,US,1712225215
203,mitsamiouli,-11.3847,43.2844,29.79,71,37,2.68,KM,1712225346
204,temiskaming shores,47.4938,-79.7153,-0.11,95,100,6.21,CA,1712225346
205,keflavik,64.0049,-22.5624,1.24,86,100,6.69,IS,1712225346
206,jiayuguan,39.8167,98.3,13.93,20,87,3.98,CN,1712225347
207,swakopmund,-22.6833,14.5333,16.66,89,3,0.45,NA,1712225137
208,port alfred,-33.5906,26.891,28.8,46,22,1.57,ZA,1712225217
209,qoryooley,1.7878,44.53,33.86,47,100,3.83,SO,1712225347
210,sabang,5.8933,95.3214,29.51,72,93,4.45,ID,1712225121
211,flying fish cove,-10.4217,105.6791,27.82,83,40,3.09,CX,1712225347
212,lampang,18.3333,99.5,44.32,15,0,1.45,TH,1712225347
213,skowhegan,44.7651,-69.7192,0.31,96,100,6.34,US,1712225347
214,nova sintra,14.8667,-24.7167,20.34,78,84,9.0,CV,1712225347
215,egilsstadir,65.2653,-14.3948,-5.47,74,76,2.07,IS,1712225348
216,akureyri,65.6835,-18.0878,-4.92,76,90,1.39,IS,1712225348
217,oituz,46.2,26.6167,17.18,36,99,2.34,RO,1712225348
218,yasuj,30.6682,51.588,17.12,37,19,2.54,IR,1712225348
219,lorengau,-2.0226,147.2712,27.58,83,84,2.83,PG,1712225348
220,rayon,19.1444,-99.5836,8.93,60,2,0.44,MX,1712225348
221,dudinka,69.4058,86.1778,-17.4,89,39,3.13,RU,1712225348
222,nemuro,43.3236,145.575,1.79,94,100,2.98,JP,1712225348
223,vigia,-0.8583,-48.1417,24.16,92,100,1.93,BR,1712225344
224,colonia,50.9333,6.95,14.77,77,75,4.12,DE,1712225314
225,wakkanai,45.4094,141.6739,3.57,81,29,5.19,JP,1712225348
226,laminusa,5.5549,120.9136,28.45,73,40,1.27,PH,1712225348
227,ancud,-41.8697,-73.8203,12.32,94,83,2.9,CL,1712225349
228,lubao,14.9167,120.55,31.67,57,66,3.64,PH,1712225349
229,vettaikkaranpudur,10.5667,76.9333,39.45,20,30,4.36,IN,1712225349
230,levuka,50.1834,-105.4011,5.56,90,70,3.43,CA,1712225349
231,ulladulla,-35.35,150.4667,17.65,84,100,3.97,AU,1712225349
232,inarajan village,13.2736,144.7484,27.54,85,100,7.36,GU,1712225349
233,paphos,34.7667,32.4167,26.24,73,0,4.63,CY,1712225349
234,chiredzi,-21.05,31.6667,31.15,41,55,3.32,ZW,1712225079
235,hanting,36.7708,119.2108,9.65,35,59,3.67,CN,1712225349
236,pisco,-13.7,-76.2167,21.03,83,100,0.51,PE,1712225349
237,nizhneangarsk,55.7833,109.55,-2.78,90,100,4.92,RU,1712225350
238,weno,7.4515,151.8468,28.97,89,100,5.66,FM,1712225350
239,obihiro,42.9172,143.2044,4.52,82,59,4.14,JP,1712225350
240,adazi,57.0758,24.3214,1.1,59,95,1.66,LV,1712225350
241,naliya,23.2667,68.8333,30.7,38,100,6.82,IN,1712225350
242,sao joao da barra,-21.6403,-41.0511,25.05,91,1,2.77,BR,1712225080
243,yarmouth,41.7057,-70.2286,4.45,94,100,10.8,US,1712225350
244,la sarre,48.8002,-79.1996,-1.52,84,100,7.04,CA,1712225347
245,waingapu,-9.6567,120.2641,26.55,87,100,3.59,ID,1712225350
246,hiratacho,35.4333,132.8167,11.32,85,100,5.89,JP,1712225350
247,magadan,59.5667,150.8,-8.04,82,7,1.59,RU,1712225350
248,high rock,26.6208,-78.2833,23.01,80,52,11.7,BS,1712225350
249,afaahiti,-17.75,-149.2833,26.7,79,100,5.18,PF,1712225351
250,moeiwadi,16.3894,104.1572,40.25,19,3,4.18,TH,1712225351
251,pimentel,-6.8367,-79.9342,22.16,73,0,1.54,PE,1712225351
252,jincheng,35.5022,112.8328,12.17,66,75,4.33,CN,1712225351
253,jiwani,25.05,61.7417,27.31,56,13,6.86,PK,1712225351
254,hamilton,39.1834,-84.5333,3.33,89,100,7.2,US,1712225270
255,ola,59.5833,151.2833,-7.7,80,6,0.57,RU,1712225351
256,kapuskasing,49.4169,-82.4331,-0.73,91,100,4.47,CA,1712225345
257,kirkwall,58.9848,-2.9587,3.31,81,75,8.23,GB,1712225351
258,ayorou,14.7308,0.9174,41.13,6,0,7.33,NE,1712225351
259,noosa heads,-26.3833,153.15,25.06,84,10,4.24,AU,1712225351
260,presque isle,46.6811,-68.0159,-0.08,70,100,5.14,US,1712225104
261,olomouc,49.5955,17.2518,16.31,72,100,3.68,CZ,1712225351
262,belmonte,-15.8631,-38.8828,25.84,90,97,1.22,BR,1712225351
263,isangel,-19.55,169.2667,25.82,88,2,4.66,VU,1712225351
264,el calafate,-50.3408,-72.2768,4.38,75,44,8.77,AR,1712225352
265,catabola,-12.15,17.2833,22.1,81,100,3.48,AO,1712225352
266,diu,20.7141,70.9822,32.77,42,98,8.94,IN,1712225119
267,paracin,43.8608,21.4078,17.86,44,81,3.82,RS,1712225122
268,uturoa,-16.7333,-151.4333,28.08,79,100,7.16,PF,1712225352
269,yeed,4.55,43.0333,33.13,42,99,2.63,SO,1712225352
270,nar'yan-mar,67.6713,53.087,-15.5,88,100,8.49,RU,1712225352
271,alta,69.9689,23.2717,-6.01,66,0,1.54,NO,1712225332
272,san antonio de pale,-1.4014,5.6325,28.67,75,98,3.44,GQ,1712225352
273,guerrero negro,27.9769,-114.0611,15.84,82,0,6.77,MX,1712225352
274,fisterra,42.9049,-9.2629,15.42,85,100,13.49,ES,1712225352
275,kamaishi,39.2667,141.8833,8.15,74,12,0.78,JP,1712225352
276,kabalo,-6.05,26.9167,30.09,60,80,1.81,CD,1712225140
277,arhribs,36.7936,4.3116,20.46,43,8,1.13,DZ,1712225353
278,avarua,-21.2078,-159.775,27.03,78,20,5.14,CK,1712225353
279,bengkulu,-3.8004,102.2655,28.6,78,100,2.4,ID,1712225353
280,chandler,33.3062,-111.8412,20.25,51,0,3.6,US,1712225175
281,tyazhinskiy,56.116,88.524,3.3,88,100,9.47,RU,1712225353
282,banda aceh,5.5577,95.3222,29.83,74,98,3.94,ID,1712225353
283,saint-pierre,-21.3393,55.4781,28.82,70,75,1.54,RE,1712225350
284,hobyo,5.3505,48.5268,30.77,65,32,6.09,SO,1712225353
285,tura,25.5198,90.2201,35.93,13,32,5.31,IN,1712225353
286,cartagena del chaira,1.3349,-74.8429,22.29,100,100,0.32,CO,1712225284
287,northam,51.0333,-4.2167,12.99,93,48,8.09,GB,1712225199
288,kayyerkan,69.3786,87.7439,-17.61,88,66,4.41,RU,1712225354
289,itamaraca,-7.7478,-34.8256,27.03,84,51,0.95,BR,1712225354
290,revda,56.801,59.9303,12.64,66,0,5.51,RU,1712225354
291,turbat,26.0023,63.044,33.85,16,35,6.72,PK,1712225252
292,lautoka,-17.6167,177.4667,26.92,74,20,3.6,FJ,1712225354
293,shimonoseki,33.95,130.95,14.6,89,79,2.45,JP,1712225354
294,chonchi,-42.6128,-73.8092,10.56,98,85,1.19,CL,1712225354
295,laguna,38.421,-121.4238,8.55,77,0,3.6,US,1712225354
296,ust-nera,64.5667,143.2,-16.81,98,70,2.27,RU,1712225354
297,norderney,53.7,7.15,11.1,96,100,7.07,DE,1712225354
298,usinsk,65.9939,57.5281,-10.52,87,100,8.49,RU,1712225106
299,ban karon,7.8477,98.2985,31.95,73,81,7.54,TH,1712225354
300,el colomo,19.05,-104.25,18.4,70,82,2.47,MX,1712225354
301,tofol,5.3248,163.0078,28.07,76,33,7.71,FM,1712225355
302,beaufort west,-32.3567,22.583,29.1,30,0,9.6,ZA,1712225355
303,hotan,37.0997,79.9269,18.81,13,50,4.3,CN,1712225355
304,praia da vitoria,38.7333,-27.0667,14.86,85,31,8.16,PT,1712225355
305,miracema do tocantins,-9.5618,-48.3967,23.79,96,52,1.28,BR,1712225355
306,qusmuryn,52.4503,64.6311,11.6,71,1,2.51,KZ,1712225356
307,pangkalanbuun,-2.6833,111.6167,26.49,95,100,1.33,ID,1712225342
308,san julian,21.0167,-102.1667,12.67,18,100,2.22,MX,1712225356
309,margate,51.3813,1.3862,13.16,74,55,5.36,GB,1712225134
310,chu,43.5983,73.7614,19.09,33,65,3.83,KZ,1712225160
311,lensk,60.7253,114.9278,1.49,90,100,7.5,RU,1712225356
312,santa terezinha,-29.9002,-50.0904,22.08,92,100,4.31,BR,1712225356
313,utrik,11.2278,169.8474,26.66,79,100,9.46,MH,1712225356
314,vilyuchinsk,52.9306,158.4028,-3.37,82,20,4.25,RU,1712225356
315,puerto madero,14.7208,-92.4215,24.11,94,0,0.0,MX,1712225315
316,iranshahr,27.2025,60.6848,30.97,14,72,5.84,IR,1712225356
317,el granada,37.5027,-122.4694,10.47,76,75,4.12,US,1712225356
318,banswara,23.55,74.45,34.57,20,100,5.81,IN,1712225356
319,port lincoln,-34.7333,135.8667,15.41,68,5,6.52,AU,1712225300
320,itoman,26.1247,127.6694,25.43,98,75,4.12,JP,1712225356
321,sol'tsy,58.1239,30.3238,1.02,57,100,3.3,RU,1712225357
322,karratha,-20.7377,116.8463,30.37,53,39,6.55,AU,1712225357
323,ayr,55.4627,-4.6339,9.06,70,75,5.14,GB,1712225357
324,amherst,41.3978,-82.2224,3.82,90,100,2.06,US,1712225318
325,patterson,37.4716,-121.1297,10.55,73,73,0.96,US,1712225357
326,melekeok village,7.4957,134.6367,26.31,94,100,1.54,PW,1712225357
327,cobadin,44.0833,28.2167,21.29,28,96,2.55,RO,1712225357
328,kuta,-8.7233,115.1723,28.97,83,40,2.24,ID,1712225357
329,tegueste,28.5167,-16.3167,18.7,90,40,7.2,ES,1712225357
330,el maamoura,36.465,10.8061,19.63,45,0,1.45,TN,1712225357
331,general acha,-37.377,-64.6043,12.36,58,45,3.88,AR,1712225357
332,tocopilla,-22.092,-70.1979,19.34,76,65,2.27,CL,1712225316
333,lethem,3.3803,-59.7968,25.72,76,24,4.7,GY,1712225358
334,maumere,-8.6199,122.2111,27.15,85,100,2.19,ID,1712225358
335,songling,31.1933,120.7176,13.77,53,99,4.13,CN,1712225358
336,kruisfontein,-34.0033,24.7314,32.63,27,1,9.35,ZA,1712225358
337,navarre,30.4016,-86.8636,14.47,67,0,2.57,US,1712225060
338,port saint john's,-31.6229,29.5448,24.92,68,99,3.64,ZA,1712225358
339,kirakira,-10.4544,161.9205,27.31,87,96,4.01,SB,1712225358
340,mount pleasant,32.7941,-79.8626,12.21,71,0,4.47,US,1712225119
341,monrovia,6.3005,-10.7969,28.62,77,13,3.34,LR,1712225358
342,al jawf,29.5,38.75,28.93,12,0,2.5,SA,1712225358
343,enriquillo,17.9,-71.2333,23.87,89,8,3.43,DO,1712225358
344,taltal,-25.4,-70.4833,17.32,81,1,0.83,CL,1712225358
345,constantia,44.1833,28.65,20.39,54,99,3.89,RO,1712225358
346,xai-xai,-25.0519,33.6442,28.03,64,45,1.68,MZ,1712225359
347,port moresby,-9.4431,147.1797,26.21,88,100,1.74,PG,1712225328
348,porto velho,-8.7619,-63.9039,24.03,94,40,0.0,BR,1712225307
349,bodo,67.28,14.405,-2.35,52,0,9.77,NO,1712225359
350,san juan nepomuceno,9.9516,-75.082,24.68,89,68,1.77,CO,1712225359
351,puerto santa,-8.9906,-78.6456,21.03,89,91,2.92,PE,1712225359
352,crane,31.3974,-102.3501,14.69,21,0,2.12,US,1712225359
353,tucurui,-3.7661,-49.6725,23.85,98,100,1.48,BR,1712225070
354,toliara,-23.35,43.6667,30.99,55,0,4.81,MG,1712225176
355,shingu,33.7333,135.9833,15.81,86,100,1.24,JP,1712225359
356,kudahuvadhoo,2.6708,72.8944,29.35,68,44,0.81,MV,1712225359
357,tortoli,39.9256,9.6572,19.31,45,1,3.24,IT,1712225092
358,n'zeto,-7.2312,12.8666,30.02,73,84,3.93,AO,1712225360
359,fonte boa,-2.4959,-66.2662,23.54,99,100,0.72,BR,1712225235
360,novo aripuana,-5.1206,-60.3797,23.2,99,89,0.82,BR,1712225360
361,cockburn town,21.4612,-71.1419,25.35,86,11,7.85,TC,1712225360
362,herceg novi,42.4531,18.5375,18.93,55,20,3.09,ME,1712225360
363,north bondi,-33.8824,151.2769,19.94,90,75,9.26,AU,1712225360
364,bloemfontein,-29.1211,26.214,18.71,77,75,4.12,ZA,1712225135
365,kavieng,-2.5744,150.7967,28.26,81,61,4.06,PG,1712225360
366,westport,41.1415,-73.3579,5.02,85,100,4.12,US,1712225341
